-----------------------------------------------
200 < p_{T} [GeV] < 400
 SD mu 40: epsilon_s=0.437771, epsilon_b=0.024244
 MJ: epsilon_s=0.4516, epsilon_b=0.0435658
 SD mu 40: epsilon_s=0.430606, epsilon_b=0.0224604
 MJ: epsilon_s=0.446726, epsilon_b=0.0413589
 SD mu 40: epsilon_s=0.422527, epsilon_b=0.0209926
 MJ: epsilon_s=0.441159, epsilon_b=0.0391437
 SD mu 40: epsilon_s=0.414382, epsilon_b=0.019432
 MJ: epsilon_s=0.435116, epsilon_b=0.0369237
 SD mu 40: epsilon_s=0.405787, epsilon_b=0.0180164
 MJ: epsilon_s=0.428633, epsilon_b=0.0346895
 SD mu 40: epsilon_s=0.396466, epsilon_b=0.0166497
 MJ: epsilon_s=0.421412, epsilon_b=0.032302
 SD mu 40: epsilon_s=0.386858, epsilon_b=0.0152712
 MJ: epsilon_s=0.413715, epsilon_b=0.03005
 SD mu 40: epsilon_s=0.376817, epsilon_b=0.0140364
 MJ: epsilon_s=0.405277, epsilon_b=0.0278205
 SD mu 40: epsilon_s=0.366122, epsilon_b=0.0127983
 MJ: epsilon_s=0.396191, epsilon_b=0.0257692
 SD mu 40: epsilon_s=0.355845, epsilon_b=0.011731
 MJ: epsilon_s=0.386143, epsilon_b=0.0235694
 SD mu 40: epsilon_s=0.344836, epsilon_b=0.0106412
 MJ: epsilon_s=0.375906, epsilon_b=0.0214587
 SD mu 40: epsilon_s=0.333234, epsilon_b=0.00966152
 MJ: epsilon_s=0.364802, epsilon_b=0.0195368
 SD mu 40: epsilon_s=0.321421, epsilon_b=0.00873801
 MJ: epsilon_s=0.352893, epsilon_b=0.0178751
 SD mu 40: epsilon_s=0.309311, epsilon_b=0.00793415
 MJ: epsilon_s=0.340832, epsilon_b=0.0161065
 SD mu 40: epsilon_s=0.297074, epsilon_b=0.00715668
 MJ: epsilon_s=0.328423, epsilon_b=0.0144269
 SD mu 40: epsilon_s=0.284385, epsilon_b=0.00637698
 MJ: epsilon_s=0.31543, epsilon_b=0.0128638
 SD mu 40: epsilon_s=0.271918, epsilon_b=0.00564333
 MJ: epsilon_s=0.301682, epsilon_b=0.0114491
 SD mu 40: epsilon_s=0.259136, epsilon_b=0.00497373
 MJ: epsilon_s=0.287351, epsilon_b=0.0100273
 SD mu 40: epsilon_s=0.24622, epsilon_b=0.00441029
 MJ: epsilon_s=0.27255, epsilon_b=0.00884074
 SD mu 40: epsilon_s=0.232765, epsilon_b=0.00389966
 MJ: epsilon_s=0.257525, epsilon_b=0.00760662
 SD mu 40: epsilon_s=0.219201, epsilon_b=0.00340926
 MJ: epsilon_s=0.242025, epsilon_b=0.00668133
 SD mu 40: epsilon_s=0.20535, epsilon_b=0.00298794
 MJ: epsilon_s=0.226731, epsilon_b=0.00565864
 SD mu 40: epsilon_s=0.192119, epsilon_b=0.00257506
 MJ: epsilon_s=0.211405, epsilon_b=0.00493528
 SD mu 40: epsilon_s=0.178904, epsilon_b=0.00223183
 MJ: epsilon_s=0.195776, epsilon_b=0.00416321
 SD mu 40: epsilon_s=0.165786, epsilon_b=0.00192848
 MJ: epsilon_s=0.180166, epsilon_b=0.00353843
 SD mu 40: epsilon_s=0.153108, epsilon_b=0.00163694
 MJ: epsilon_s=0.164998, epsilon_b=0.00298017
 SD mu 40: epsilon_s=0.140301, epsilon_b=0.00138921
 MJ: epsilon_s=0.149586, epsilon_b=0.00245754
 SD mu 40: epsilon_s=0.12802, epsilon_b=0.0012027
 MJ: epsilon_s=0.134341, epsilon_b=0.00203944
 SD mu 40: epsilon_s=0.116005, epsilon_b=0.00101283
 MJ: epsilon_s=0.120176, epsilon_b=0.00155363
 SD mu 40: epsilon_s=0.103976, epsilon_b=0.000844309
 MJ: epsilon_s=0.105998, epsilon_b=0.00132795
 SD mu 40: epsilon_s=0.0926259, epsilon_b=0.000666796
 MJ: epsilon_s=0.0927004, epsilon_b=0.00111059
 SD mu 40: epsilon_s=0.0820998, epsilon_b=0.000557817
 MJ: epsilon_s=0.0801787, epsilon_b=0.000950234
 SD mu 40: epsilon_s=0.0720829, epsilon_b=0.000435917
 MJ: epsilon_s=0.068513, epsilon_b=0.000741182
 SD mu 40: epsilon_s=0.0624616, epsilon_b=0.000376372
 MJ: epsilon_s=0.0579261, epsilon_b=0.000591521
 SD mu 40: epsilon_s=0.053548, epsilon_b=0.000297727
 MJ: epsilon_s=0.0478674, epsilon_b=0.000431169
 SD mu 40: epsilon_s=0.0452875, epsilon_b=0.000220767
 MJ: epsilon_s=0.0387751, epsilon_b=0.000312389
 SD mu 40: epsilon_s=0.03761, epsilon_b=0.00017358
 MJ: epsilon_s=0.0309305, epsilon_b=0.000225681
 SD mu 40: epsilon_s=0.030685, epsilon_b=0.000133135
 MJ: epsilon_s=0.0240032, epsilon_b=0.000176981
 SD mu 40: epsilon_s=0.024545, epsilon_b=0.000103924
 MJ: epsilon_s=0.0181755, epsilon_b=0.000111652
 SD mu 40: epsilon_s=0.0191107, epsilon_b=7.52744e-05
 MJ: epsilon_s=0.0131035, epsilon_b=7.48309e-05
 SD mu 40: epsilon_s=0.0146291, epsilon_b=4.77487e-05
 MJ: epsilon_s=0.00923061, epsilon_b=5.93896e-05
 SD mu 40: epsilon_s=0.0105424, epsilon_b=2.9211e-05
 MJ: epsilon_s=0.00622851, epsilon_b=3.08826e-05
 SD mu 40: epsilon_s=0.00742161, epsilon_b=2.30317e-05
 MJ: epsilon_s=0.00397306, epsilon_b=2.37558e-06
 SD mu 40: epsilon_s=0.00512213, epsilon_b=2.247e-05
 MJ: epsilon_s=0.00249334, epsilon_b=2.37558e-06
 SD mu 40: epsilon_s=0.00336395, epsilon_b=8.42624e-06
 MJ: epsilon_s=0.00140343, epsilon_b=0
 SD mu 40: epsilon_s=0.00191241, epsilon_b=3.93224e-06
 MJ: epsilon_s=0.000770564, epsilon_b=0
 SD mu 40: epsilon_s=0.00117817, epsilon_b=1.68525e-06
 MJ: epsilon_s=0.00036201, epsilon_b=0
 SD mu 40: epsilon_s=0.000619324, epsilon_b=1.68525e-06
 MJ: epsilon_s=0.000168076, epsilon_b=0
 SD mu 40: epsilon_s=0.000303614, epsilon_b=1.68525e-06
 MJ: epsilon_s=4.97764e-05, epsilon_b=0
 SD mu 40: epsilon_s=0.000149993, epsilon_b=1.68525e-06
 MJ: epsilon_s=2.06863e-05, epsilon_b=0
 SD mu 40: epsilon_s=5.62472e-05, epsilon_b=1.68525e-06
 MJ: epsilon_s=9.69669e-06, epsilon_b=0
 SD mu 40: epsilon_s=1.02818e-05, epsilon_b=1.68525e-06
 MJ: epsilon_s=6.46446e-07, epsilon_b=0
 SD mu 40: epsilon_s=1.81443e-06, epsilon_b=1.68525e-06
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=6.04809e-07, epsilon_b=1.68525e-06
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
-----------------------------------------------
600 < p_{T} [GeV] < 1000
 MJ: epsilon_s=0.506541, epsilon_b=0.0583811
 SD mu 40: epsilon_s=0.504962, epsilon_b=0.04225
 MJ: epsilon_s=0.506541, epsilon_b=0.0583811
 SD mu 40: epsilon_s=0.504962, epsilon_b=0.04225
 MJ: epsilon_s=0.506541, epsilon_b=0.0583811
 SD mu 40: epsilon_s=0.504962, epsilon_b=0.04225
 MJ: epsilon_s=0.506541, epsilon_b=0.0583811
 SD mu 40: epsilon_s=0.504962, epsilon_b=0.0422494
 MJ: epsilon_s=0.506541, epsilon_b=0.0583786
 SD mu 40: epsilon_s=0.504962, epsilon_b=0.0422475
 MJ: epsilon_s=0.506541, epsilon_b=0.0583786
 SD mu 40: epsilon_s=0.50496, epsilon_b=0.0422431
 MJ: epsilon_s=0.506541, epsilon_b=0.0583786
 SD mu 40: epsilon_s=0.504949, epsilon_b=0.0422291
 MJ: epsilon_s=0.506541, epsilon_b=0.0583673
 SD mu 40: epsilon_s=0.504941, epsilon_b=0.0422119
 MJ: epsilon_s=0.506539, epsilon_b=0.0583673
 SD mu 40: epsilon_s=0.50493, epsilon_b=0.0421808
 MJ: epsilon_s=0.506538, epsilon_b=0.0583548
 SD mu 40: epsilon_s=0.50491, epsilon_b=0.0421554
 MJ: epsilon_s=0.506534, epsilon_b=0.0583424
 SD mu 40: epsilon_s=0.504872, epsilon_b=0.0421135
 MJ: epsilon_s=0.506527, epsilon_b=0.0583324
 SD mu 40: epsilon_s=0.504846, epsilon_b=0.0420475
 MJ: epsilon_s=0.506525, epsilon_b=0.0583174
 SD mu 40: epsilon_s=0.50478, epsilon_b=0.0419567
 MJ: epsilon_s=0.50652, epsilon_b=0.0582825
 SD mu 40: epsilon_s=0.504684, epsilon_b=0.0418678
 MJ: epsilon_s=0.506514, epsilon_b=0.0582725
 SD mu 40: epsilon_s=0.504576, epsilon_b=0.0417625
 MJ: epsilon_s=0.506485, epsilon_b=0.0582126
 SD mu 40: epsilon_s=0.50443, epsilon_b=0.0415872
 MJ: epsilon_s=0.506428, epsilon_b=0.0581364
 SD mu 40: epsilon_s=0.504284, epsilon_b=0.0413955
 MJ: epsilon_s=0.506386, epsilon_b=0.0580553
 SD mu 40: epsilon_s=0.504047, epsilon_b=0.0411428
 MJ: epsilon_s=0.506327, epsilon_b=0.057943
 SD mu 40: epsilon_s=0.503755, epsilon_b=0.0408178
 MJ: epsilon_s=0.506228, epsilon_b=0.0577807
 SD mu 40: epsilon_s=0.503273, epsilon_b=0.04044
 MJ: epsilon_s=0.506114, epsilon_b=0.057596
 SD mu 40: epsilon_s=0.502785, epsilon_b=0.0400248
